Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,30325,30559,"Denver, CO","Seattle, WA",1024,3005,187.13,AS,0.3900,190.40,DL,0.1390,182.08,-1,,
2024,3,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,3005,230.16,AA,0.4801,264.58,WN,0.2385,206.32,-1,,
2024,3,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",2218,2978,244.60,DL,0.3691,267.17,WN,0.1028,236.08,-1,,
2024,3,31453,30852,"Houston, TX","Washington, DC (Metropolitan Area)",1246,2971,228.50,UA,0.4392,279.53,NK,0.1590,113.74,-1,,
2024,3,30977,34100,"Chicago, IL","Philadelphia, PA",678,2941,174.07,AA,0.4705,191.21,WN,0.1861,155.93,-1,,
2024,3,31650,31703,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",1057,2930,232.04,DL,0.5052,277.75,SY,0.1603,124.78,-1,,
2024,3,30721,30325,"Boston, MA (Metropolitan Area)","Denver, CO",1754,2920,245.76,UA,0.3792,288.71,B6,0.2070,195.79,-1,,
2024,3,30466,30559,"Phoenix, AZ","Seattle, WA",1107,2899,173.61,AS,0.4952,174.35,DL,0.2709,165.82,-1,,
2024,3,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2849,223.94,DL,0.6290,264.83,NK,0.1074,96.40,-1,,
2024,3,33570,30559,"San Diego, CA","Seattle, WA",1050,2801,201.40,AS,0.6375,206.18,DL,0.2987,188.45,-1,,
2024,3,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,2793,204.98,AA,0.5183,264.44,NK,0.2924,103.32,-1,,
2024,3,30325,31650,"Denver, CO","Minneapolis/St. Paul, MN",680,2789,148.18,DL,0.3198,186.23,SY,0.1386,97.66,-1,,
2024,3,30325,30466,"Denver, CO","Phoenix, AZ",602,2770,160.65,WN,0.5723,157.06,F9,0.1150,103.97,-1,,
2024,3,30559,30852,"Seattle, WA","Washington, DC (Metropolitan Area)",2335,2763,322.04,AS,0.5083,333.32,DL,0.1449,305.52,-1,,
2024,3,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,2701,251.59,DL,0.3125,265.94,AA,0.2026,219.07,-1,,
2024,3,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,2681,190.96,AA,0.4227,235.86,NK,0.1320,109.98,-1,,
2024,3,30977,31650,"Chicago, IL","Minneapolis/St. Paul, MN",349,2579,170.59,DL,0.3142,211.55,WN,0.1953,136.77,-1,,
2024,3,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,2565,229.36,WN,0.4191,217.01,WN,0.4191,217.01,-1,,
2024,3,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,2558,238.76,AS,0.4318,225.28,AS,0.4318,225.28,-1,,
2024,3,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,2523,238.37,AA,0.5179,274.94,DL,0.2243,222.35,-1,,
2024,3,33195,30852,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",842,2512,198.53,WN,0.4339,201.05,WN,0.4339,201.05,-1,,
2024,3,30325,31453,"Denver, CO","Houston, TX",883,2503,208.68,UA,0.4847,252.79,F9,0.1313,101.98,-1,,
2024,3,31453,32467,"Houston, TX","Miami, FL (Metropolitan Area)",966,2503,184.17,NK,0.3220,110.89,NK,0.3220,110.89,-1,,
2024,3,33192,33570,"Sacramento, CA","San Diego, CA",480,2491,139.99,WN,0.7988,141.75,WN,0.7988,141.75,-1,,
2024,3,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,2477,182.81,DL,0.4052,212.16,NK,0.1127,97.60,-1,,
2024,3,30325,32211,"Denver, CO","Las Vegas, NV",628,2473,161.57,WN,0.4937,160.91,F9,0.2318,107.75,-1,,
2024,3,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",1102,2403,185.76,B6,0.4281,166.51,B6,0.4281,166.51,-1,,
2024,3,30977,33195,"Chicago, IL","Tampa, FL (Metropolitan Area)",1012,2401,182.40,WN,0.2983,186.78,NK,0.1249,108.23,-1,,
